Time,Segment 1 Max,Segment 1 Min,Segment 1 Mean,Segment 2 Max,Segment 2 Min,Segment 2 Mean,Segment 3 Max,Segment 3 Min,Segment 3 Mean,Segment 4 Max,Segment 4 Min,Segment 4 Mean,Segment Unique Max,Segment Unique Min,Segment Unique Mean,Inverter Enabled,Inverter Torque Request,OCV Estimate,Power Limit,Power Limit Feedback P,Power Limit Feedback I,Power Limit Feedback Torque,PRNDL State,Ready To Drive Buzzer,Brake Light,Enable Drag Reduction,Pump Output,Radiator Output,Battery Fans Output,Vehicle Displacement X,Vehicle Displacement Y,Vehicle Displacement Z,Vehicle Velocity X,Vehicle Velocity Y,Vehicle Velocity Z,Vehicle Acceleration X,Vehicle Acceleration Y,Vehicle Acceleration Z,HV Battery,LV Battery,Dash Speed,APPS Telemetry,BSE Telemetry,Steering Wheel Telemetry,APPS Fault,BSE Fault,STOMPP Fault,Steering Fault,Voltage,Current,State of Charge,Pack Voltage Mean,Pack Voltage Minimum,Pack Voltage Maximum,Pack Voltage Range,Pack Temp Mean,Pack Temp Minimum,Pack Temp Maximum,Pack Temp Range,IMD,AMS,Contactor Status,Cell Voltage Mean,Cell Voltage Max,Cell Voltage Min,Cell Temps Mean,Cell Temps Max,Cell Temps Min,Volumetric Flow Rate,Water Temp Inverter,Water Temp Motor,Water Temp Radiator,Radiator Fan RPM Percentage,LV Voltage,LV State of Charge,LV Current,Voltage Input into DC,Current Input into DC,RPM,Inverter Temp,Motor Temp,Motor Angle,Resolver Angle,Phase A Current,Phase B Current,Phase C Current,BC Voltage,AB Voltage,Output Voltage,Inverter Frequency,Actual Torque,Torque Command,Fault Vector,State Vector,APPS 1 Voltage,APPS 2 Voltage,BSE 1 Voltage,BSE 2 Voltage,Steer Voltage,Suspension 1 Voltage,Suspension 2 Voltage,Front Left Wheel Speed,Front Right Wheel Speed,Back Left Wheel Speed,Back Right Wheel Speed,VCU Acceleration X,VCU Acceleration Y,VCU Acceleration Z,HVC Acceleration X,HVC Acceleration Y,HVC Acceleration Z,PDU Acceleration X,PDU Acceleration Y,PDU Acceleration Z,Front Left Acceleration X,Front Left Acceleration Y,Front Left Acceleration Z,Front Right Acceleration X,Front Right Acceleration Y,Front Right Acceleration Z,Back Left Acceleration X,Back Left Acceleration Y,Back Left Acceleration Z,Back Right Acceleration X,Back Right Acceleration Y,Back Right Acceleration Z,VCU Gyro X,VCU Gyro Y,VCU Gyro Z,HVC Gyro X,HVC Gyro Y,HVC Gyro Z,PDU Gyro X,PDU Gyro Y,PDU Gyro Z,Latitude,Longitude,Speed,Heading,Hour,Minute,Seconds,Year,Month,Day,Milliseconds
0.589126,0.000000,999.000000,nan,0.000000,999.000000,nan,0.000000,999.000000,nan,0.000000,999.000000,nan,0.000000,999.000000,nan,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000500,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.760684,0.000000,-0.001354,15.300316,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0, nan,0.000000,999.000000, nan,0.000000,999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,         0,         0,2.265914,1.105388,0.510900,0.464976,1.339538,0.505864,0.381790,1.866646,1.866646,1.866646,1.866646,1.981934,0.387770,-9.550624,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019548,-0.039095,-0.019548,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.726200,-97.111425,0.040000,185.139999,        21,         6,         5,        24,        10,        12,       500
0.598552,0.000000,999.000000,nan,0.000000,999.000000,nan,0.000000,999.000000,nan,0.000000,999.000000,nan,0.000000,999.000000,nan,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000500,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.739485,0.000000,0.005777,15.235863,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,4.073357,4.097700,3.997000, nan,0.000000,999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,215.600006,144.400009,0.600000,0.200000,0.500000,-0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,         0,90089584767602692,2.261383,1.098288,0.513770,0.464372,1.338782,0.512460,0.374539,1.615768,1.615768,1.615768,1.615768,2.001083,0.387770,-9.555411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019548,-0.034208,-0.014661,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.726197,-97.111437,0.050000,185.139999,        21,         6,         5,        24,        10,        12,       600
0.605553,0.000000,999.000000,nan,0.000000,999.000000,nan,0.000000,999.000000,nan,0.000000,999.000000,nan,0.000000,999.000000,nan,0,0.000000,-0.000334,0.000000,0.000000,0.000000,0.000000,0,0,0.000500,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.743871,0.000000,0.006220,15.674126,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,4.073357,4.097700,3.997000, nan,0.000000,999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.100000,0.000000,0.000000,0.000000,0.000000,215.600006,144.400009,-0.500000,-0.500000,0.100000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,         0,90089584767602692,2.265814,1.098640,0.509641,0.467494,1.343918,0.514978,0.381085,1.729834,1.729834,1.598374,1.598374,1.977147,0.397344,-9.584135,0.000000,0.000000,0.000000,-0.670000,-0.800000,10.000000,-10.370000,-0.580000,-0.030000,0.000000,0.000000,0.000000,0.100000,7.420000,6.630000,-0.120000,-7.300000,6.740000,0.019548,-0.029322,-0.019548,0.000000,0.000000,0.000000,0.020000,-0.030000,0.000000,32.726197,-97.111437,0.050000,185.139999,        21,         6,         5,        24,        10,        12,       600
0.614814,0.000000,999.000000,nan,0.000000,999.000000,nan,0.000000,999.000000,nan,0.000000,999.000000,nan,0.000000,999.000000,nan,0,0.000000,-0.001243,0.000000,0.000000,0.000000,0.000000,0,0,0.000500,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.748707,0.000000,0.006949,15.841705,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,4.073357,4.097700,3.997000, nan,0.000000,999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.100000,0.000000,0.000000,0.000000,0.000000,215.600006,144.400009,-0.500000,-0.500000,0.100000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,         0,90089584767602692,2.268080,1.101007,0.510950,0.474896,1.345882,0.511051,0.371769,1.729834,1.729834,1.576292,1.576292,1.986721,0.392557,-9.579348,0.000000,0.000000,0.000000,-0.670000,-0.790000,10.020000,-10.380000,-0.580000,-0.010000,0.000000,0.000000,0.000000,0.090000,7.410000,6.620000,-0.110000,-7.320000,6.760000,0.019548,-0.039095,-0.014661,0.000000,0.000000,0.000000,0.020000,-0.040000,0.000000,32.726197,-97.111437,0.050000,185.139999,        21,         6,         5,        24,        10,        12,       600
0.622842,0.000000,999.000000,nan,0.000000,999.000000,nan,0.000000,999.000000,nan,0.000000,999.000000,nan,0.000000,999.000000,nan,0,0.000000,-0.002033,0.000000,0.000000,0.000000,0.000000,0,0,0.000500,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.752324,0.000000,0.007342,15.764359,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,4.073357,4.097700,3.997000, nan,0.000000,999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.100000,0.000000,0.000000,0.000000,0.000000,215.600006,144.400009,-0.900000,-0.100000,-0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,         0,90089584767602692,2.260828,1.099597,0.504504,0.468249,1.344976,0.502843,0.377963,1.729834,1.729834,1.557407,1.557407,1.977147,0.392557,-9.598496,0.000000,0.000000,0.000000,-0.690000,-0.800000,10.020000,-10.380000,-0.580000,-0.020000,0.000000,0.000000,0.000000,0.100000,7.420000,6.620000,-0.120000,-7.310000,6.760000,0.019548,-0.034208,-0.019548,0.000000,0.000000,0.000000,0.030000,-0.040000,0.000000,32.726197,-97.111437,0.050000,185.139999,        21,         6,         5,        24,        10,        12,       600
0.631785,0.000000,999.000000,nan,0.000000,999.000000,nan,0.000000,999.000000,nan,0.000000,999.000000,nan,0.000000,999.000000,nan,0,0.000000,-0.002430,0.000000,0.000000,0.000000,0.000000,0,0,0.000500,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.755722,0.000000,0.007693,15.364784,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,4.073357,4.097700,3.997000, nan,0.000000,999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,215.600006,144.400009,-0.200000,0.600000,-0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,         0,90089584767602692,2.266770,1.096676,0.507929,0.467544,1.340293,0.516439,0.371115,1.729834,1.729834,1.536963,1.536963,1.981934,0.382982,-9.593710,0.000000,0.000000,0.000000,-0.680000,-0.810000,10.000000,-10.389999,-0.570000,-0.020000,0.000000,0.000000,0.000000,0.100000,7.410000,6.630000,-0.120000,-7.310000,6.760000,0.019548,-0.039095,-0.019548,0.000000,0.000000,0.000000,0.030000,-0.030000,0.000000,32.726197,-97.111437,0.050000,185.139999,        21,         6,         5,        24,        10,        12,       600
0.639768,0.000000,999.000000,nan,0.000000,999.000000,nan,0.000000,999.000000,nan,0.000000,999.000000,nan,0.000000,999.000000,nan,0,0.000000,-0.002410,0.000000,0.000000,0.000000,0.000000,0,0,0.000500,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.758323,0.000000,0.007991,15.403442,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,4.073357,4.097700,3.997000, nan,0.000000,999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,215.600006,144.400009,0.900000,-0.500000,0.100000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,         0,90089584767602692,2.264454,1.098993,0.512007,0.469458,1.340746,0.514726,0.372676,1.729834,1.729834,1.519071,1.519071,1.991509,0.392557,-9.612859,0.000000,0.000000,0.000000,-0.670000,-0.800000,10.010000,-10.380000,-0.570000,-0.030000,0.000000,0.000000,0.000000,0.090000,7.420000,6.630000,-0.120000,-7.310000,6.750000,0.019548,-0.034208,-0.019548,0.000000,0.000000,0.000000,0.040000,-0.040000,0.000000,32.726197,-97.111437,0.050000,185.139999,        21,         6,         5,        24,        10,        12,       600
0.649242,0.000000,999.000000,nan,0.000000,999.000000,nan,0.000000,999.000000,nan,0.000000,999.000000,nan,0.000000,999.000000,nan,0,0.000000,-0.002388,0.000000,0.000000,0.000000,0.000000,0,0,0.000500,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.760889,0.000000,0.008310,15.485085,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,4.073357,4.097700,3.997000, nan,0.000000,999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.000000,-56.700001,215.600006,144.400009,0.900000,-0.500000,0.100000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,         0,90089584767602692,2.262339,1.100957,0.510346,0.474997,1.341703,0.517295,0.375848,1.729834,1.729834,1.498598,1.498598,1.981934,0.406919,-9.593710,0.000000,0.000000,0.000000,-0.680000,-0.820000,10.020000,-10.389999,-0.570000,-0.030000,0.000000,0.000000,0.000000,0.090000,7.420000,6.620000,-0.110000,-7.310000,6.750000,0.019548,-0.034208,-0.019548,0.000000,0.000000,0.000000,0.020000,-0.030000,0.000000,32.726197,-97.111437,0.050000,185.139999,        21,         6,         5,        24,        10,        12,       600
0.656925,0.000000,999.000000,nan,0.000000,999.000000,nan,0.000000,999.000000,nan,0.000000,999.000000,nan,0.000000,999.000000,nan,0,0.000000,-0.002369,0.000000,0.000000,0.000000,0.000000,0,0,0.000500,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.762725,0.000000,0.008563,15.167114,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,4.073357,4.097700,3.997000, nan,0.000000,999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.000000,-56.700001,215.600006,144.400009,0.500000,0.200000,-0.200000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,         0,90089584767602692,2.263246,1.097533,0.515985,0.476356,1.337977,0.518755,0.374942,1.729834,1.729834,1.481842,1.481842,1.991509,0.392557,-9.588923,0.000000,0.000000,0.000000,-0.690000,-0.810000,10.000000,-10.380000,-0.580000,-0.020000,0.000000,0.000000,0.000000,0.100000,7.440000,6.630000,-0.110000,-7.310000,6.750000,0.024435,-0.034208,-0.019548,0.000000,0.000000,0.000000,0.030000,-0.040000,0.000000,32.726197,-97.111437,0.050000,185.139999,        21,         6,         5,        24,        10,        12,       600
0.666617,0.000000,999.000000,nan,0.000000,999.000000,nan,0.000000,999.000000,nan,0.000000,999.000000,nan,0.000000,999.000000,nan,0,0.000000,-0.002346,0.000000,0.000000,0.000000,0.000000,0,0,0.000500,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.764584,0.000000,0.008630,15.884666,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,4.073357,4.097700,3.997000, nan,0.000000,999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.100000,0.000000,0.000000,41.000000,-56.700001,215.600006,144.400009,-0.200000,-0.100000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,         0,90089584767602692,2.260526,1.097533,0.509943,0.465278,1.346386,0.514626,0.375445,1.729834,1.729834,1.462141,1.462141,1.981934,0.397344,-9.608071,0.000000,0.000000,0.000000,-0.680000,-0.810000,10.010000,-10.380000,-0.580000,-0.010000,0.000000,0.000000,0.000000,0.090000,7.420000,6.630000,-0.120000,-7.310000,6.750000,0.019548,-0.039095,-0.014661,0.000000,0.000000,0.000000,0.020000,-0.030000,0.000000,32.726198,-97.111438,0.150000,185.139999,        21,         6,         5,        24,        10,        12,       700
