Time,Segment 1 Max,Segment 1 Min,Segment 1 Mean,Segment 2 Max,Segment 2 Min,Segment 2 Mean,Segment 3 Max,Segment 3 Min,Segment 3 Mean,Segment 4 Max,Segment 4 Min,Segment 4 Mean,Segment Unique Max,Segment Unique Min,Segment Unique Mean,Inverter Enabled,Inverter Torque Request,OCV Estimate,Power Limit,Power Limit Feedback P,Power Limit Feedback I,Power Limit Feedback Torque,PRNDL State,Ready To Drive Buzzer,Brake Light,Enable Drag Reduction,Pump Output,Radiator Output,Battery Fans Output,Vehicle Displacement X,Vehicle Displacement Y,Vehicle Displacement Z,Vehicle Velocity X,Vehicle Velocity Y,Vehicle Velocity Z,Vehicle Acceleration X,Vehicle Acceleration Y,Vehicle Acceleration Z,HV Battery,LV Battery,Dash Speed,APPS Telemetry,BSE Telemetry,Steering Wheel Telemetry,APPS Fault,BSE Fault,STOMPP Fault,Steering Fault,Voltage,Current,State of Charge,Pack Voltage Mean,Pack Voltage Minimum,Pack Voltage Maximum,Pack Voltage Range,Pack Temp Mean,Pack Temp Minimum,Pack Temp Maximum,Pack Temp Range,IMD,AMS,Contactor Status,Cell Voltage Mean,Cell Voltage Max,Cell Voltage Min,Cell Temps Mean,Cell Temps Max,Cell Temps Min,Volumetric Flow Rate,Water Temp Inverter,Water Temp Motor,Water Temp Radiator,Radiator Fan RPM Percentage,LV Voltage,LV State of Charge,LV Current,Voltage Input into DC,Current Input into DC,RPM,Inverter Temp,Motor Temp,Motor Angle,Resolver Angle,Phase A Current,Phase B Current,Phase C Current,BC Voltage,AB Voltage,Output Voltage,Inverter Frequency,Actual Torque,Torque Command,Fault Vector,State Vector,APPS 1 Voltage,APPS 2 Voltage,BSE 1 Voltage,BSE 2 Voltage,Steer Voltage,Suspension 1 Voltage,Suspension 2 Voltage,Front Left Wheel Speed,Front Right Wheel Speed,Back Left Wheel Speed,Back Right Wheel Speed,VCU Acceleration X,VCU Acceleration Y,VCU Acceleration Z,HVC Acceleration X,HVC Acceleration Y,HVC Acceleration Z,PDU Acceleration X,PDU Acceleration Y,PDU Acceleration Z,Front Left Acceleration X,Front Left Acceleration Y,Front Left Acceleration Z,Front Right Acceleration X,Front Right Acceleration Y,Front Right Acceleration Z,Back Left Acceleration X,Back Left Acceleration Y,Back Left Acceleration Z,Back Right Acceleration X,Back Right Acceleration Y,Back Right Acceleration Z,VCU Gyro X,VCU Gyro Y,VCU Gyro Z,HVC Gyro X,HVC Gyro Y,HVC Gyro Z,PDU Gyro X,PDU Gyro Y,PDU Gyro Z,Latitude,Longitude,Speed,Heading,Hour,Minute,Seconds,Year,Month,Day,Milliseconds
2.071063,52.000000,44.299999,47.433334,52.000000,43.700001,48.959999,51.000000,44.100002,47.560001,55.200001,45.200001,48.649998,54.700001,48.000000,52.187500,0,0.000000,-0.023765,0.000000,0.000000,0.000000,0.000000,0,0,0.000500,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.409746,0.073554,0.009667,15.532349,0,0,0,0,531.380005,61.730000,0.240000,4.088958,0.000000,4.107700,4.107700,1769.472290,0.000000,57.000000,57.000000,0,1,1,4.088958,4.107700,4.008700,48.982861,55.200001,43.700001,0.000000,-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.700003,-56.700001,215.600006,144.300003,0.400000,0.600000,0.000000,-0.100000,0.100000,0.000000,0.500000,0.000000,0.000000,         0,90089584767602692,2.327096,1.130867,0.508281,0.472378,1.342257,0.502490,0.345887,0.878986,0.878986,0.577878,0.577878,1.967572,0.392557,-9.598496,0.000000,0.000000,0.000000,-0.680000,-0.810000,10.010000,-10.389999,-0.580000,-0.020000,0.000000,0.000000,0.000000,0.090000,7.420000,6.630000,-0.110000,-7.310000,6.750000,0.019548,-0.039095,-0.014661,0.000000,0.000000,0.000000,0.030000,-0.030000,0.000000,32.725975,-97.111497,1.920000,222.800003,        21,         5,        46,        24,        10,        12,       236
2.082284,52.000000,44.299999,47.433334,52.000000,43.700001,48.959999,51.000000,44.100002,47.560001,55.200001,45.200001,48.649998,54.700001,48.000000,52.187500,0,0.000000,-0.017983,0.000000,0.000000,0.000000,0.000000,0,0,0.000500,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.327966,0.067714,0.010378,15.390549,0,0,0,0,531.380005,61.730000,0.240000,4.088958,0.000000,4.107700,4.107700,1769.472290,0.000000,57.000000,57.000000,0,1,1,4.088958,4.107700,4.008700,48.982861,55.200001,43.700001,0.000000,-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.100000,-56.700001,215.600006,144.300003,0.400000,0.600000,0.000000,-0.100000,0.100000,0.000000,0.500000,0.000000,0.000000,         0,90089584767602692,2.324024,1.128652,0.510547,0.465681,1.340595,0.499016,0.384005,0.705175,0.705175,0.491236,0.491236,1.996296,0.373408,-9.526688,0.000000,0.000000,0.000000,-0.680000,-0.810000,10.010000,-10.389999,-0.580000,-0.020000,0.000000,0.000000,0.000000,0.090000,7.420000,6.630000,-0.110000,-7.310000,6.750000,0.019548,-0.034208,-0.014661,0.000000,0.000000,0.000000,0.030000,-0.030000,0.000000,32.726272,-97.111530,8.030000,208.580002,        21,         5,        46,        24,        10,        12,       570
2.091381,52.000000,44.299999,47.433334,52.000000,43.700001,48.959999,51.000000,44.100002,47.560001,55.200001,45.200001,48.649998,54.700001,48.000000,52.187500,0,0.000000,-0.017822,0.000000,0.000000,0.000000,0.000000,0,0,0.000500,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.325765,0.069767,0.010518,14.973770,0,0,0,0,531.380005,61.730000,0.240000,4.088958,0.000000,4.107700,4.107700,1769.472290,0.000000,57.000000,57.000000,0,1,1,4.088958,4.107700,4.008700,48.982861,55.200001,43.700001,0.000000,-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.100000,-56.700001,215.600006,144.300003,0.400000,0.600000,0.000000,-0.100000,0.100000,0.000000,0.500000,0.000000,0.000000,         0,90089584767602692,2.321758,1.129357,0.504807,0.475198,1.335711,0.508382,0.355656,0.701244,0.701244,0.489157,0.489157,1.977147,0.387770,-9.569773,0.000000,0.000000,0.000000,-0.670000,-0.810000,10.000000,-10.389999,-0.590000,-0.020000,0.000000,0.000000,0.000000,0.080000,7.410000,6.620000,-0.110000,-7.310000,6.750000,0.024435,-0.034208,-0.019548,0.000000,0.000000,0.000000,0.040000,-0.050000,0.000000,32.726272,-97.111530,8.030000,208.580002,        21,         5,        46,        24,        10,        12,       570
2.101898,52.000000,44.299999,47.433334,52.000000,43.700001,48.959999,51.000000,44.100002,47.560001,55.200001,45.200001,48.649998,54.700001,48.000000,52.187500,0,0.000000,-0.017636,0.000000,0.000000,0.000000,0.000000,0,0,0.000500,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.323308,0.070608,0.010261,15.334702,0,0,0,0,531.380005,61.730000,0.240000,4.088958,0.000000,4.107700,4.107700,1912.246216,0.000000,57.000000,57.000000,0,1,1,4.088958,4.107700,4.008700,48.982861,55.200001,43.700001,0.000000,-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.200003,-56.700001,215.600006,144.300003,-0.200000,1.000000,0.400000,-0.100000,0.100000,0.000000,0.000000,0.000000,0.000000,         0,90089584767602692,2.324376,1.125127,0.511302,0.478622,1.339941,0.510295,0.357871,0.696743,0.696743,0.486770,0.486770,1.981934,0.373408,-9.574560,0.000000,0.000000,0.000000,-0.670000,-0.820000,9.980000,-10.380000,-0.590000,-0.020000,0.000000,0.000000,0.000000,0.100000,7.410000,6.610000,-0.110000,-7.300000,6.750000,0.024435,-0.034208,-0.014661,0.000000,0.000000,0.000000,0.040000,-0.050000,0.000000,32.726272,-97.111530,8.030000,208.580002,        21,         5,        46,        24,        10,        12,       570
2.112386,52.000000,44.299999,47.433334,52.000000,43.700001,48.959999,51.000000,44.100002,47.560001,55.200001,45.200001,48.649998,54.700001,48.000000,52.187500,0,0.000000,-0.017973,0.000000,0.000000,0.000000,0.000000,0,0,0.000500,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.320931,0.069587,0.010090,15.424919,0,0,0,0,531.380005,61.910000,0.330000,4.088958,0.000000,4.107700,4.107700,1912.246216,0.000000,57.000000,57.000000,0,0,1,4.088958,4.107700,4.008700,48.982861,55.200001,43.700001,0.000000,-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,-0.100000,0.000000,0.000000,27.200003,-56.700001,215.600006,144.300003,-0.200000,-0.500000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,         0,90089584767602692,2.315816,1.126436,0.499771,0.470817,1.340998,0.502289,0.370863,0.692291,0.692291,0.484401,0.484401,1.991509,0.406919,-9.593710,0.000000,0.000000,0.000000,-0.660000,-0.810000,9.990000,-10.380000,-0.580000,-0.020000,0.000000,0.000000,0.000000,0.080000,7.420000,6.610000,-0.110000,-7.310000,6.740000,0.024435,-0.034208,-0.019548,0.000000,0.000000,0.000000,0.030000,-0.030000,0.000000,32.726272,-97.111530,8.030000,208.580002,        21,         5,        46,        24,        10,        12,       570
2.121297,52.000000,44.299999,47.433334,52.000000,43.700001,48.959999,51.000000,44.100002,47.560001,55.200001,45.200001,48.649998,54.700001,48.000000,52.187500,0,0.000000,-0.018330,0.000000,0.000000,0.000000,0.000000,0,0,0.000500,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.318960,0.069363,0.009888,15.618279,0,0,0,0,531.380005,61.910000,0.330000,4.088958,0.000000,4.107700,4.107700,1912.246216,0.000000,57.000000,57.000000,0,0,1,4.088958,4.107700,4.008700,48.982861,55.200001,43.700001,0.000000,-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.200003,-56.700001,215.600006,144.400009,0.400000,-0.100000,0.000000,-0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,         0,90089584767602692,2.322916,1.125983,0.507526,0.465782,1.343264,0.496851,0.351023,0.688540,0.688540,0.482400,0.482400,1.986721,0.406919,-9.608071,0.000000,0.000000,0.000000,-0.670000,-0.810000,9.990000,-10.370000,-0.580000,-0.010000,0.000000,0.000000,0.000000,0.090000,7.420000,6.630000,-0.120000,-7.310000,6.750000,0.014661,-0.034208,-0.019548,0.000000,0.000000,0.000000,0.030000,-0.040000,0.000000,32.726272,-97.111530,8.030000,208.580002,        21,         5,        46,        24,        10,        12,       570
2.131699,52.000000,44.299999,47.433334,52.000000,43.700001,48.959999,51.000000,44.100002,47.560001,55.200001,45.200001,48.649998,54.700001,48.000000,52.187500,0,0.000000,-0.018141,0.000000,0.000000,0.000000,0.000000,0,0,0.000500,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.316743,0.068952,0.009637,14.840576,0,0,0,0,531.380005,61.910000,0.330000,4.088958,0.000000,4.107700,4.107700,1912.246216,0.000000,57.000000,57.000000,0,0,1,4.088958,4.107700,4.008700,48.982861,55.200001,43.700001,0.000000,-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.200003,-56.700001,215.600006,144.400009,-1.400000,0.600000,-0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,         0,90089584767602692,2.316622,1.129105,0.498412,0.471623,1.334150,0.500476,0.355203,0.684254,0.684254,0.480106,0.480106,1.972359,0.378195,-9.617646,0.000000,0.000000,0.000000,-0.680000,-0.800000,10.000000,-10.380000,-0.600000,-0.010000,0.000000,0.000000,0.000000,0.080000,7.410000,6.620000,-0.110000,-7.300000,6.750000,0.024435,-0.034208,-0.014661,0.000000,0.000000,0.000000,0.030000,-0.030000,0.000000,32.726272,-97.111530,8.030000,208.580002,        21,         5,        46,        24,        10,        12,       570
2.140854,52.000000,44.299999,47.433334,52.000000,43.700001,48.959999,51.000000,44.100002,47.560001,55.200001,45.200001,48.649998,54.700001,48.000000,52.187500,0,0.000000,-0.017976,0.000000,0.000000,0.000000,0.000000,0,0,0.000500,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.314829,0.068557,0.009701,15.442108,0,0,0,0,531.380005,61.910000,0.330000,4.088958,0.000000,4.107700,4.107700,1912.246216,0.000000,57.000000,57.000000,0,0,1,4.088958,4.107700,4.008700,48.982861,55.200001,43.700001,0.000000,-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.200003,-56.700001,215.600006,144.400009,0.100000,0.200000,-0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,         0,90089584767602692,2.322211,1.128450,0.504202,0.480032,1.341199,0.517244,0.360288,0.680507,0.680507,0.478096,0.478096,1.972359,0.397344,-9.603284,0.000000,0.000000,0.000000,-0.670000,-0.810000,10.000000,-10.400000,-0.560000,-0.010000,0.000000,0.000000,0.000000,0.090000,7.410000,6.620000,-0.110000,-7.310000,6.750000,0.019548,-0.039095,-0.014661,0.000000,0.000000,0.000000,0.040000,-0.030000,0.000000,32.726272,-97.111530,8.030000,208.580002,        21,         5,        46,        24,        10,        12,       570
2.151005,52.000000,44.299999,47.433334,52.000000,43.700001,48.959999,51.000000,44.100002,47.560001,55.200001,45.200001,48.649998,54.700001,48.000000,52.187500,0,0.000000,-0.017796,0.000000,0.000000,0.000000,0.000000,0,0,0.000500,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.312772,0.069523,-0.042493,15.296013,0,0,0,0,531.380005,61.910000,0.330000,4.088958,0.000000,4.107700,4.107700,1912.246216,0.000000,57.000000,57.000000,0,0,1,4.088958,4.107700,4.008700,48.982861,55.200001,43.700001,0.000000,-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.200003,-56.700001,215.600006,144.400009,0.100000,0.200000,-0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,         0,90089584767602692,2.315262,1.129860,0.514022,0.479025,1.339487,0.505763,0.346441,0.676436,0.676436,0.475906,0.475906,1.977147,0.387770,-9.598496,0.000000,0.000000,0.000000,-0.680000,-0.810000,10.000000,-10.380000,-0.570000,-0.010000,0.000000,0.000000,0.000000,0.100000,7.410000,6.620000,-0.110000,-7.310000,6.750000,0.024435,-0.034208,-0.019548,0.000000,0.000000,0.000000,0.030000,-0.030000,0.000000,32.726272,-97.111530,8.030000,208.580002,        21,         5,        46,        24,        10,        12,       570
2.161411,52.000000,44.299999,47.433334,52.000000,43.700001,48.959999,51.000000,44.100002,47.560001,55.200001,45.200001,48.649998,54.700001,48.000000,52.187500,0,0.000000,-0.018130,0.000000,0.000000,0.000000,0.000000,0,0,0.000500,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.310695,0.069654,-0.032984,15.876076,0,0,0,0,531.380005,61.910000,0.330000,4.088958,0.000000,4.107700,4.107700,1912.246216,0.000000,57.000000,57.000000,0,0,1,4.088958,4.107700,4.008700,48.982861,55.200001,43.700001,0.000000,-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,-0.100000,0.000000,0.000000,27.200003,-56.700001,215.600006,144.400009,-0.200000,-0.500000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,         0,90089584767602692,2.322966,1.126235,0.508785,0.474594,1.346285,0.506972,0.340449,0.672282,0.672282,0.473665,0.473665,1.986721,0.382982,-9.608071,0.000000,0.000000,0.000000,-0.680000,-0.800000,10.010000,-10.389999,-0.570000,0.000000,0.000000,0.000000,0.000000,0.080000,7.420000,6.630000,-0.110000,-7.310000,6.750000,0.019548,-0.039095,-0.019548,0.000000,0.000000,0.000000,0.040000,-0.040000,0.000000,32.726272,-97.111530,8.030000,208.580002,        21,         5,        46,        24,        10,        12,       570
